"domain","table","column","type","db_type","nullable","is_primary_key","is_unique","is_foreign_key","references","default","description"
"Assistant & feedback","assistant_confirmation","tenantId","String","","no","no","no","yes","organization(id)","""""","Phase 12 tenant scope (nullable U2 -> backfill U3 -> NOT NULL U5); FK+RLS at DB level"
"Assistant & feedback","assistant_confirmation","id","String","","no","yes","no","no","","cuid()",""
"Assistant & feedback","assistant_confirmation","nonce","String","","no","no","yes","no","","",""
"Assistant & feedback","assistant_confirmation","tool","String","","no","no","no","no","","",""
"Assistant & feedback","assistant_confirmation","actorEmail","String","","no","no","no","no","","",""
"Assistant & feedback","assistant_confirmation","usedAt","DateTime","","no","no","no","no","","now()",""
"Assistant & feedback","assistant_conversation","tenantId","String","","no","no","no","yes","organization(id)","""""","Phase 12 tenant scope (nullable U2 -> backfill U3 -> NOT NULL U5); FK+RLS at DB level"
"Assistant & feedback","assistant_conversation","id","String","","no","yes","no","no","","cuid()",""
"Assistant & feedback","assistant_conversation","ownerUserId","String","","no","no","no","yes","user(id)","",""
"Assistant & feedback","assistant_conversation","title","String","","no","no","no","no","","",""
"Assistant & feedback","assistant_conversation","createdAt","DateTime","","no","no","no","no","","now()",""
"Assistant & feedback","assistant_conversation","updatedAt","DateTime","","no","no","no","no","","",""
"Assistant & feedback","assistant_feedback","tenantId","String","","no","no","no","yes","organization(id)","""""","Phase 12 tenant scope (nullable U2 -> backfill U3 -> NOT NULL U5); FK+RLS at DB level"
"Assistant & feedback","assistant_feedback","id","String","","no","yes","no","no","","cuid()",""
"Assistant & feedback","assistant_feedback","createdAt","DateTime","","no","no","no","no","","now()",""
"Assistant & feedback","assistant_feedback","rating","String","","no","no","no","no","","","""up"" | ""down"""
"Assistant & feedback","assistant_feedback","comment","String","","yes","no","no","no","","","free-text ""what was wrong"" (UNTRUSTED input)"
"Assistant & feedback","assistant_feedback","conversation","Json","","no","no","no","no","","","[{ role, content }] transcript for context"
"Assistant & feedback","assistant_feedback","conversationId","String","","yes","no","no","no","","",""
"Assistant & feedback","assistant_feedback","ratedMessageId","String","","yes","no","no","no","","",""
"Assistant & feedback","assistant_feedback","debugContext","Json","","yes","no","no","no","","",""
"Assistant & feedback","assistant_feedback","actorUserId","String","","yes","no","no","no","","",""
"Assistant & feedback","assistant_feedback","actorEmail","String","","no","no","no","no","","",""
"Assistant & feedback","assistant_feedback","status","String","","no","no","no","no","","""NEW""","NEW | TRIAGED | RESOLVED | DISMISSED"
"Assistant & feedback","assistant_feedback","prUrl","String","","yes","no","no","no","","",""
"Assistant & feedback","assistant_feedback","notes","String","","yes","no","no","no","","",""
"Assistant & feedback","assistant_feedback","modeAtSubmission","FeedbackAutomationMode","","no","no","no","no","","AGENTIC_FIX",""
"Assistant & feedback","assistant_feedback","automationStatus","FeedbackAutomationStatus","","no","no","no","no","","NOT_REQUESTED",""
"Assistant & feedback","assistant_feedback","severity","FeedbackSeverity","","yes","no","no","no","","",""
"Assistant & feedback","assistant_feedback","githubIssueUrl","String","","yes","no","no","no","","",""
"Assistant & feedback","assistant_feedback","githubRunUrl","String","","yes","no","no","no","","",""
